"","mfgID","x","y","ts","yr","wk"
"1",52,188591.5941,1997137.405,2017-01-18 10:17:00,17,3
"2",64,188637.1176,1997109,2017-01-18 11:03:40,17,3
"3",359,188491.5507,1997052.453,2017-01-18 11:49:20,17,3
"4",359,188466.8471,1997060.865,2017-01-18 12:19:40,17,3
"5",44,189286.4955,1996499.931,2017-01-20 12:14:40,17,5
"6",44,189285.7536,1996508.485,2017-01-20 12:38:00,17,5
"7",44,189289.8505,1996526.538,2017-01-21 11:27:40,17,6
"8",44,189252.0411,1996478.287,2017-01-22 10:10:00,17,0
"9",52,188614.8714,1997180.162,2017-01-24 09:08:00,17,2
"10",52,188615.5766,1997219.738,2017-01-24 11:12:20,17,2
"11",52,188577.0791,1997212.475,2017-01-24 12:56:00,17,2
"12",359,188493.4486,1996888.946,2017-01-24 01:55:40,17,2
"13",44,189341.9965,1996445.866,2017-01-25 07:08:40,17,3
"14",39,189029.7705,1996999.837,2017-01-25 08:05:00,17,3
"15",380,189062.5688,1996708.939,2017-01-25 08:53:20,17,3
"16",44,189290.6957,1996499.785,2017-01-25 09:22:00,17,3
"17",380,189119.6153,1996710.727,2017-01-25 09:35:40,17,3
"18",380,189072.6545,1996697.933,2017-01-26 06:39:00,17,4
"19",44,189339.9808,1996447.788,2017-01-26 06:48:40,17,4
"20",380,189075.5605,1996708.193,2017-01-26 07:04:20,17,4
"21",380,189087.7173,1996715.076,2017-01-26 07:25:00,17,4
"22",39,189035.9954,1996894.914,2017-01-26 07:51:20,17,4
"23",39,189068.3447,1996923.997,2017-01-26 08:34:40,17,4
"24",64,189344.1388,1996934.938,2017-01-26 09:50:00,17,4
"25",39,189064.9212,1996890.061,2017-01-26 10:29:00,17,4
"26",380,189054.3838,1996700.177,2017-01-26 10:47:00,17,4
"27",44,189286.3581,1996476.04,2017-01-26 11:00:40,17,4
"28",52,188645.0743,1997240.841,2017-01-26 12:25:00,17,4
"29",377,188563.8278,1997236.38,2017-01-26 12:34:40,17,4
"30",380,189087.101,1996705.704,2017-01-27 07:08:20,17,5
"31",44,189290.7226,1996437.769,2017-01-27 07:26:40,17,5
"32",39,189058.6315,1996912.319,2017-01-27 07:44:40,17,5
"33",39,189076.5459,1996906.679,2017-01-27 08:53:20,17,5
"34",44,189260.9921,1996471.579,2017-01-27 09:36:40,17,5
"35",380,189094.8279,1996721.113,2017-01-27 11:46:20,17,5
"36",39,189064.5883,1996929.101,2017-01-27 12:00:00,17,5
"37",52,188603.5576,1997145.968,2017-01-27 01:07:00,17,5
"38",359,188479.3398,1996942.113,2017-01-27 01:41:00,17,5
"39",358,188459.0879,1997331.689,2017-01-28 06:29:40,17,6
"40",377,188684.326,1997481.794,2017-01-28 06:38:40,17,6
"41",52,188683.4439,1997182.577,2017-01-28 06:54:00,17,6
"42",358,188921.3734,1997346.769,2017-01-28 07:17:20,17,6
"43",377,188711.2446,1997278.375,2017-01-28 07:40:40,17,6
"44",52,188572.3685,1997194.716,2017-01-28 07:58:00,17,6
"45",377,188547.5706,1997293.407,2017-01-28 11:02:40,17,6
"46",52,188617.4013,1997074.764,2017-01-28 11:17:20,17,6
"47",380,189084.1729,1996701.321,2017-01-29 06:52:00,17,0
"48",39,189049.3136,1996874.506,2017-01-29 07:12:20,17,0
"49",380,189081.0586,1996737.781,2017-01-29 09:50:00,17,0
"50",380,189066.4736,1996688.484,2017-01-29 11:55:40,17,0
"51",39,189032.4337,1996915.648,2017-01-29 12:14:00,17,0
"52",358,188926.657,1997220.295,2017-01-29 12:53:20,17,0
"53",52,188593.3007,1997151.466,2017-01-29 01:31:20,17,0
"54",364,188373.7507,1997408.814,2017-01-29 01:56:40,17,0
"55",358,188968.7438,1997340.813,2017-01-30 07:14:00,17,1
"56",52,188626.9854,1997133.57,2017-01-30 07:40:00,17,1
"57",364,188404.6373,1997402.419,2017-01-30 08:07:40,17,1
"58",358,188958.84,1997271.832,2017-01-30 08:58:20,17,1
"59",52,188641.8066,1997206.146,2017-01-30 09:40:20,17,1
"60",358,188960.8507,1997236.45,2017-01-30 10:36:40,17,1
"61",52,188577.3981,1997167.083,2017-01-30 10:56:20,17,1
"62",364,188416.3304,1997436.254,2017-01-30 11:10:00,17,1
"63",364,188349.8665,1997416.005,2017-02-01 06:40:00,17,3
"64",52,188577.5999,1997147.215,2017-02-01 07:37:00,17,3
"65",364,188356.5387,1997398.028,2017-02-01 07:59:00,17,3
"66",39,189004.6271,1996935.704,2017-02-01 08:43:00,17,3
"67",380,189098.9255,1996635.073,2017-02-01 08:50:20,17,3
"68",39,189041.7784,1996890.795,2017-02-01 10:21:20,17,3
"69",44,189294.9746,1996475.544,2017-02-01 10:47:40,17,3
"70",380,189048.5767,1996703.732,2017-02-01 11:08:00,17,3
"71",44,189300.1608,1996443.99,2017-02-01 11:26:00,17,3
"72",39,189046.7592,1996926.548,2017-02-01 11:44:20,17,3
"73",358,188919.7214,1997247.072,2017-02-01 12:10:00,17,3
"74",364,188334.4698,1997398.4,2017-02-01 01:43:00,17,3
"75",380,189058.6053,1996703.412,2017-02-02 06:40:00,17,4
"76",44,189320.9336,1996458.368,2017-02-02 06:50:00,17,4
"77",39,189069.6844,1996929.545,2017-02-02 07:06:00,17,4
"78",380,189093.9197,1996755.581,2017-02-02 07:14:40,17,4
